food,calories,protein,fat,carbs,fiber,sugar
jus_jeruk,44,0.7,0.2,10.5,0.2,7.7
madu,285,0.3,0.0,79.8,0.2,83.6
popcorn,363,12.0,4.8,79.6,15.9,0.9
kacang_merah,358,21.6,1.0,65.1,15.8,1.9
martabak_manis,365,8.4,18.6,52.3,1.4,26.9
batagor,195,10.4,8.8,19.5,1.2,1.9
sayur_lodeh,138,3.6,7.3,10.9,2.7,3.3
nasi_goreng,312,8.5,13.0,44.8,1.8,3.2
cumi-cumi,98,17.0,1.4,2.9,0.0,0.0
martabak_manis,405,7.7,19.2,51.5,1.6,26.9
sate_ayam,183,27.4,8.6,3.2,0.3,1.9
ikan_tuna,132,24.0,4.7,0.0,0.0,0.0
nugget,287,13.1,17.8,21.1,1.2,1.4
nasi_merah,108,2.2,0.8,26.4,1.7,0.3
sate_ayam,216,28.4,7.4,2.8,0.3,2.2
air_kelapa,21,0.6,0.2,3.8,1.1,2.4
tumis_kangkung,61,3.4,2.5,5.4,2.3,0.9
es_krim,191,3.6,11.8,23.7,0.7,20.3
pepaya,39,0.5,0.3,11.2,1.6,8.1
capcay,81,4.4,3.2,12.8,3.1,4.6
gula_pasir,398,0.0,0.0,108.8,0.0,98.1
capcay,91,4.1,2.7,12.8,3.3,4.8
bayam,24,3.1,0.4,3.4,2.2,0.4
jus_apel,45,0.1,0.1,11.3,0.2,9.5
alpukat,155,2.0,15.8,9.0,6.4,0.7
lemper,187,4.6,7.6,26.2,1.2,1.0
kopi,2,0.3,0.0,0.0,0.0,0.0
timun,15,0.6,0.1,3.4,0.5,1.6
batagor,187,10.6,8.7,18.4,1.1,2.1
ikan_tuna,152,24.1,5.4,0.0,0.0,0.0
sate_ayam,217,25.6,8.5,3.3,0.3,2.0
sosis,325,13.7,25.6,2.1,0.0,1.5
kepiting,99,19.7,1.4,0.0,0.0,0.0
keju,401,25.5,35.0,1.3,0.0,0.5
ikan_salmon,222,19.9,13.3,0.0,0.0,0.0
sayur_lodeh,138,3.9,8.0,10.3,2.7,3.1
pecel_lele,295,20.1,16.4,11.5,2.1,1.4
martabak_manis,406,8.0,18.4,48.4,1.5,29.2
melon,31,0.8,0.2,7.8,0.9,8.5
batagor,178,9.9,9.6,16.7,1.2,2.0
gado-gado,204,7.5,12.1,13.8,3.7,6.1
pepaya,41,0.5,0.3,10.0,1.8,8.4
pisang,91,1.0,0.3,22.7,2.5,12.7
nugget,308,12.6,16.8,20.4,1.1,1.6
sawi,14,1.6,0.2,2.3,1.0,1.2
alpukat,172,1.8,14.6,9.2,7.3,0.8
kopi,2,0.3,0.0,0.0,0.0,0.0
coklat,599,5.1,31.2,63.0,6.4,45.0
popcorn,366,14.2,4.6,72.7,16.1,0.9
roti_gandum,245,14.2,3.1,38.4,6.7,4.1
pepaya,42,0.5,0.3,11.5,1.7,7.4
popcorn,395,13.8,4.8,79.5,13.7,0.8
kroket,208,7.3,11.7,20.7,2.0,1.6
jus_apel,45,0.1,0.1,10.1,0.2,9.2
kentang,80,2.0,0.1,16.1,2.1,0.8
gula_pasir,359,0.0,0.0,93.7,0.0,93.7
ayam_goreng,241,28.2,15.6,0.0,0.0,0.0
kepiting,103,20.5,1.3,0.0,0.0,0.0
kepiting,93,21.5,1.2,0.0,0.0,0.0
onde-onde,254,4.1,9.2,40.0,2.0,18.3
susu,112,8.1,2.5,13.2,0.0,12.8
sayur_lodeh,116,3.7,8.0,11.8,2.4,3.2
tahu_goreng,136,12.4,9.5,4.5,2.5,0.8
rendang,435,20.3,40.6,5.4,1.1,2.1
tempe_goreng,201,18.3,11.8,9.7,4.9,1.6
bayam,24,2.9,0.4,3.7,2.0,0.4
kentang_goreng,308,3.7,15.8,40.1,3.6,0.3
nugget,283,12.9,17.5,21.0,1.2,1.6
lemper,172,5.0,7.1,29.2,1.3,1.1
sayur_lodeh,123,4.3,8.0,10.8,2.3,3.1
pepaya,41,0.5,0.3,12.0,1.6,7.9
kopi,2,0.3,0.0,0.0,0.0,0.0
susu_kedelai,58,3.4,1.8,6.4,0.6,3.8
nasi_goreng,332,8.6,11.9,50.0,2.2,3.1
kentang_goreng,310,3.1,16.2,42.0,3.6,0.3
edamame,120,11.0,4.9,11.0,4.7,2.2
donat,473,5.4,24.3,48.8,1.4,25.0
teh,1,0.0,0.0,0.3,0.0,0.0
mie_ayam,285,12.1,7.8,47.3,2.1,2.9
bayam,25,2.7,0.4,3.9,2.4,0.4
kangkung,18,2.7,0.3,3.0,2.2,0.5
minuman_bersoda,42,0.0,0.0,10.6,0.0,12.0
martabak_manis,414,7.6,17.1,49.9,1.4,27.4
brokoli,50,4.0,0.6,11.6,3.8,1.8
sayur_asem,68,2.3,1.6,13.1,3.2,4.1
semangka,32,0.6,0.2,8.0,0.4,6.0
strawberry,30,0.6,0.3,7.4,1.8,4.8
burger,291,17.2,15.0,25.7,1.6,4.1
mie_ayam,277,11.6,8.0,40.7,1.9,3.0
gula_pasir,411,0.0,0.0,109.0,0.0,100.2
mie_ayam,275,10.9,7.4,41.6,2.1,3.1
tahu_goreng,131,11.9,9.7,4.9,2.4,0.9
